filename,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.8628,22.8244,163457,163545,32,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.884,22.8701,165137,165226,32,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.4761,22.6744,166101,166189,32,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,67.0576,23.4431,168950,169041,32,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.8006,22.7548,168189,168277,32,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,259.832,97.7198,209543,209901,35,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.636,96.0765,210752,211082,35,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,226.235,94.8254,211458,211779,35,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,275.583,104.212,208079,208459,35,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,232.231,97.4621,210069,210398,35,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.643682,2.72257,3909.34,3912.71,19,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.663479,2.80703,3112.43,3115.9,19,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.658142,2.66317,3174.21,3177.53,19,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.65618,2.71509,3129.57,3132.94,19,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.654984,2.70219,3147.69,3151.05,19,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.82744,5.92085,3783.76,3794.51,20,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.5034,6.08757,3421.73,3432.32,20,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.57857,6.16532,3367.37,3378.11,20,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.50794,6.06759,3408.02,3418.59,20,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.4443,6.06117,3437.14,3447.65,20,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4316,3.35408,3316.23,3333.01,23,10,10,1000
